config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD5,R6_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,1.490495368963779,False,False
R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD5,R6_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,1.061696185537076,False,False
R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD3,R6_ATC_M3_AL24477_B0_WFS_EPD3,ATC_M3_AL24477,B0,WFS,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.4429543733314145,False,False
R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD3,R6_ATC_M3_AL24477_B0_WFS_EPD3,ATC_M3_AL24477,B0,WFS,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.2076044023111062,False,False
R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD5,R6_ATC_M3_AL24477_B0_WFS_EPD5,ATC_M3_AL24477,B0,WFS,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.30382940685523874,False,False
R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD5,R6_ATC_M3_AL24477_B0_WFS_EPD5,ATC_M3_AL24477,B0,WFS,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.06974887868824692,False,False
R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD3,R6_ATC_M3_AL24477_B0_RAD_EPD3,ATC_M3_AL24477,B0,RAD,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.44260792911120805,False,False
R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD3,R6_ATC_M3_AL24477_B0_RAD_EPD3,ATC_M3_AL24477,B0,RAD,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.0,False,False
R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD5,R6_ATC_M3_AL24477_B0_RAD_EPD5,ATC_M3_AL24477,B0,RAD,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.0,False,False
R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,R6_ATC_M3_AL24477_B0_RAD_EPD5,ATC_M3_AL24477,B0,RAD,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.0,False,False
